"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 17, 2018","128.99","127.39","129.21","127.17","351.36K","1.26%"
"Jul 16, 2018","127.38","128.56","128.56","126.98","476.68K","-0.69%"
"Jul 13, 2018","128.26","128.11","128.73","127.85","296.71K","0.08%"
"Jul 12, 2018","128.16","128.70","128.70","127.83","347.79K","0.31%"
"Jul 11, 2018","127.77","127.99","128.79","127.50","716.93K","-0.91%"
"Jul 10, 2018","128.94","125.81","129.19","125.37","770.60K","2.55%"
"Jul 09, 2018","125.73","125.24","125.87","124.92","470.69K","0.42%"
"Jul 06, 2018","125.21","123.61","125.49","123.61","378.18K","0.57%"
"Jul 05, 2018","124.50","122.93","124.52","122.88","597.71K","1.26%"
"Jul 03, 2018","122.95","124.09","124.53","122.72","285.48K","-0.49%"
"Jul 02, 2018","123.56","123.72","124.09","122.94","440.62K","-0.32%"
"Jun 29, 2018","123.96","124.21","124.55","123.53","472.60K","0.21%"
"Jun 28, 2018","123.70","123.15","123.97","122.12","483.96K","0.47%"
"Jun 27, 2018","123.12","123.78","125.05","123.08","465.80K","-0.06%"
"Jun 26, 2018","123.20","123.81","124.10","123.10","412.36K","-0.36%"
"Jun 25, 2018","123.64","124.59","124.80","123.15","549.18K","-0.77%"
"Jun 22, 2018","124.60","124.34","125.05","124.00","872.47K","-0.06%"
"Jun 21, 2018","124.67","125.23","125.71","124.41","536.03K","-0.68%"
"Jun 20, 2018","125.52","125.00","125.93","124.56","467.41K","0.17%"
"Jun 19, 2018","125.31","124.75","125.65","124.41","735.61K","-0.19%"
"Jun 18, 2018","125.55","125.06","125.94","125.06","700.14K","-0.52%"
"Jun 15, 2018","126.21","124.69","126.34","124.15","1.14M","1.37%"
"Jun 14, 2018","124.51","124.23","125.12","123.16","1.09M","0.79%"
"Jun 13, 2018","123.53","124.67","124.67","123.19","800.09K","-0.72%"
"Jun 12, 2018","124.43","125.56","125.84","124.11","1.06M","-0.90%"
"Jun 11, 2018","125.56","125.96","126.35","124.74","549.63K","-0.67%"
"Jun 08, 2018","126.41","125.00","126.87","124.75","561.37K","0.15%"
"Jun 07, 2018","126.22","125.44","127.07","125.11","675.54K","0.49%"
"Jun 06, 2018","125.60","124.77","125.61","123.38","805.58K","0.94%"
"Jun 05, 2018","124.43","124.92","125.76","124.31","893.20K","-0.09%"
"Jun 04, 2018","124.54","124.53","124.98","123.29","747.71K","0.42%"
"Jun 01, 2018","124.02","123.02","125.28","122.88","1.06M","1.55%"
"May 31, 2018","122.13","125.28","125.28","122.11","926.84K","-2.15%"
"May 30, 2018","124.81","124.48","125.18","124.11","702.83K","0.56%"
"May 29, 2018","124.11","124.90","125.49","123.80","712.96K","-1.02%"
"May 25, 2018","125.39","124.38","126.25","124.36","1.01M","0.34%"
"May 24, 2018","124.96","125.20","125.35","123.70","593.89K","-0.15%"
"May 23, 2018","125.15","125.10","125.66","124.10","898.54K","0.14%"
"May 22, 2018","124.97","125.62","125.99","124.68","814.57K","-0.05%"
"May 21, 2018","125.03","127.25","127.25","124.75","676.70K","-1.05%"
"May 18, 2018","126.36","125.33","128.36","125.28","2.38M","1.03%"
"May 17, 2018","125.07","124.44","125.76","123.92","1.04M","0.81%"
"May 16, 2018","124.06","123.62","125.00","123.19","1.09M","0.09%"
"May 15, 2018","123.95","125.90","125.96","123.36","1.12M","-1.86%"
"May 14, 2018","126.30","125.39","127.31","124.68","1.79M","-1.03%"
"May 11, 2018","127.62","127.97","128.62","127.33","868.96K","0.14%"
"May 10, 2018","127.44","131.04","131.04","126.80","1.12M","-2.26%"
"May 09, 2018","130.39","127.11","131.15","126.05","1.42M","3.08%"
"May 08, 2018","126.49","126.91","129.69","125.34","2.44M","-0.32%"
"May 07, 2018","126.89","136.94","137.00","126.08","3.25M","-10.74%"
"May 04, 2018","142.15","139.51","143.08","139.51","417.65K","1.48%"
"May 03, 2018","140.08","139.81","140.93","139.32","346.36K","-0.01%"
"May 02, 2018","140.10","141.70","142.37","139.60","340.74K","-1.38%"
"May 01, 2018","142.06","140.51","142.06","139.45","337.65K","0.57%"
"Apr 30, 2018","141.26","142.96","143.51","141.12","325.86K","-1.09%"
"Apr 27, 2018","142.81","141.92","143.14","141.37","336.77K","0.54%"
"Apr 26, 2018","142.05","140.63","142.55","139.45","335.60K","1.28%"
"Apr 25, 2018","140.25","137.88","140.71","136.96","488.96K","1.39%"
"Apr 24, 2018","138.33","141.31","141.41","137.80","414.16K","-1.90%"
"Apr 23, 2018","141.01","141.51","141.92","140.30","385.68K","-0.42%"
"Apr 20, 2018","141.60","141.99","142.46","140.12","951.84K","-0.02%"
"Apr 19, 2018","141.63","142.45","142.96","140.24","442.72K","-0.99%"
"Apr 18, 2018","143.04","142.28","143.48","141.80","470.33K","0.68%"
"Apr 17, 2018","142.08","141.12","142.29","140.83","405.32K","1.15%"
"Apr 16, 2018","140.46","138.56","140.53","137.74","346.54K","2.02%"
"Apr 13, 2018","137.68","137.86","138.21","136.84","562.83K","0.25%"
"Apr 12, 2018","137.34","137.01","137.70","136.56","792.04K","0.64%"
"Apr 11, 2018","136.46","136.11","137.00","135.58","306.58K","-0.42%"
"Apr 10, 2018","137.03","136.86","138.17","135.44","302.85K","0.85%"
"Apr 09, 2018","135.87","135.91","137.39","134.92","314.61K","0.40%"
"Apr 06, 2018","135.33","137.35","138.27","134.53","274.09K","-2.13%"
"Apr 05, 2018","138.28","137.74","138.92","137.23","256.95K","0.92%"
"Apr 04, 2018","137.02","134.20","137.15","133.62","258.77K","1.24%"
"Apr 03, 2018","135.34","134.33","135.88","133.67","360.14K","0.92%"
"Apr 02, 2018","134.10","136.83","136.95","133.15","398.68K","-2.05%"
"Mar 29, 2018","136.91","135.73","137.89","135.23","286.14K","1.37%"
"Mar 28, 2018","135.06","135.71","136.74","134.87","302.39K","-0.25%"
"Mar 27, 2018","135.40","135.89","137.99","135.05","386.35K","-0.30%"
"Mar 26, 2018","135.81","133.61","136.14","133.61","415.10K","2.42%"
"Mar 23, 2018","132.60","133.00","135.12","132.49","548.24K","-0.49%"
"Mar 22, 2018","133.25","135.46","135.86","133.22","417.22K","-2.08%"
"Mar 21, 2018","136.08","135.86","137.50","135.37","394.85K","0.34%"
"Mar 20, 2018","135.62","138.01","138.01","135.25","486.10K","-1.61%"
"Mar 19, 2018","137.84","138.01","139.20","137.06","357.85K","-0.65%"
"Mar 16, 2018","138.74","137.63","139.09","136.41","837.17K","-0.21%"
"Mar 15, 2018","139.03","139.17","140.06","138.83","349.55K","-0.19%"
"Mar 14, 2018","139.29","141.67","141.69","139.09","338.05K","-1.42%"
"Mar 13, 2018","141.29","143.01","143.47","140.80","258.04K","-0.54%"
"Mar 12, 2018","142.05","141.03","142.81","141.03","819.24K","0.74%"
"Mar 09, 2018","141.01","139.97","141.24","139.40","607.76K","1.45%"
"Mar 08, 2018","139.00","139.85","140.03","137.93","704.47K","-0.23%"
"Mar 07, 2018","139.32","138.57","140.13","137.99","527.41K","-0.22%"
"Mar 06, 2018","139.63","139.48","140.27","138.85","929.58K","0.76%"
"Mar 05, 2018","138.57","137.34","139.27","137.05","943.94K","0.53%"
"Mar 02, 2018","137.84","137.86","138.53","136.86","636.40K","-0.39%"
"Mar 01, 2018","138.38","141.41","141.77","138.03","380.22K","-2.03%"
"Feb 28, 2018","141.25","142.68","143.62","141.19","388.12K","-0.93%"
"Feb 27, 2018","142.58","145.75","145.90","142.58","315.43K","-1.96%"
"Feb 26, 2018","145.43","145.76","145.98","143.88","233.00K","-0.27%"
"Feb 23, 2018","145.82","143.67","145.89","142.47","323.74K","2.22%"
"Feb 22, 2018","142.66","142.23","143.97","141.85","545.77K","0.86%"
"Feb 21, 2018","141.44","142.57","143.41","141.43","492.17K","-0.66%"
"Feb 20, 2018","142.38","141.36","144.03","141.10","436.80K","0.39%"
"Feb 16, 2018","141.83","143.58","144.59","141.43","447.24K","-1.52%"
"Feb 15, 2018","144.02","138.93","145.09","135.08","761.26K","-0.57%"
"Feb 14, 2018","144.85","141.94","145.12","141.08","680.76K","1.25%"
"Feb 13, 2018","143.06","141.63","143.39","140.22","425.21K","0.45%"
"Feb 12, 2018","142.42","141.04","143.25","140.55","271.00K","1.44%"
"Feb 09, 2018","140.40","139.36","141.27","136.85","407.50K","1.74%"
"Feb 08, 2018","138.00","142.13","142.66","137.93","370.30K","-3.29%"
"Feb 07, 2018","142.70","141.97","144.86","141.42","352.30K","0.20%"
"Feb 06, 2018","142.41","139.29","142.53","137.85","578.46K","1.03%"
"Feb 05, 2018","140.96","145.35","146.86","140.94","420.69K","-3.54%"
"Feb 02, 2018","146.13","146.94","147.81","146.07","382.19K","-1.26%"
"Feb 01, 2018","147.99","149.48","150.48","146.92","542.85K","-1.54%"
"Jan 31, 2018","150.30","150.24","151.24","149.00","445.55K","0.26%"
"Jan 30, 2018","149.91","150.23","150.89","148.58","428.08K","-0.66%"
"Jan 29, 2018","150.90","153.40","153.89","150.88","338.34K","-1.69%"
"Jan 26, 2018","153.49","155.27","155.27","153.23","433.76K","-0.88%"
"Jan 25, 2018","154.85","153.61","155.13","153.08","461.21K","1.30%"
"Jan 24, 2018","152.86","153.02","153.75","151.89","291.54K","-0.10%"
"Jan 23, 2018","153.01","153.00","153.37","151.31","321.99K","-0.03%"
"Jan 22, 2018","153.06","154.82","154.82","152.70","443.70K","-1.37%"
"Jan 19, 2018","155.19","155.83","155.83","154.49","398.31K","0.04%"
"Jan 18, 2018","155.13","156.24","156.88","153.17","357.37K","-0.91%"
"Jan 17, 2018","156.55","155.53","157.40","154.93","789.04K","2.63%"
"Jan 16, 2018","152.54","154.70","155.44","152.11","252.05K","-0.75%"
"Jan 12, 2018","153.70","154.17","154.20","152.22","366.70K","0.11%"
"Jan 11, 2018","153.53","154.50","154.50","152.83","388.76K","-0.16%"
"Jan 10, 2018","153.78","154.30","154.75","152.29","264.60K","-0.31%"
"Jan 09, 2018","154.26","155.93","156.49","154.14","214.17K","-1.01%"
"Jan 08, 2018","155.83","156.84","156.84","155.45","208.00K","-0.66%"
"Jan 05, 2018","156.87","154.46","156.93","154.32","259.94K","2.02%"
"Jan 04, 2018","153.76","156.28","157.22","153.59","371.50K","-1.27%"
"Jan 03, 2018","155.74","154.93","156.59","154.53","244.20K","0.76%"
"Jan 02, 2018","154.56","153.04","154.56","152.54","264.54K","1.28%"
