Date,Price,Vol.,LOG Return,Return
2018-05-31,122.13,926.84K,-0.021706529747365234,-0.021472638410383826
2018-05-30,124.81,702.83K,0.005624311788932486,0.005640157924421851
2018-05-29,124.11,712.96K,-0.01026061106101668,-0.010208150570220953
2018-05-25,125.39,1.01M,0.003435194111070602,0.0034411011523687307
2018-05-24,124.96,593.89K,-0.00151933178640752,-0.0015181781861767218
2018-05-23,125.15,898.54K,0.0014393093800909326,0.0014403456829639172
2018-05-22,124.97,814.57K,-0.0004800000092160201,-0.00047988482764138585
2018-05-21,125.03,676.70K,-0.010581267426976107,-0.010525482747704928
2018-05-18,126.36,2.38M,0.010261395373069204,0.010314224034540631
2018-05-17,125.07,1.04M,0.008108261015843716,0.008141221989359959
2018-05-16,124.06,1.09M,0.0008870610637718598,0.0008874546187978005
2018-05-15,123.95,1.12M,-0.018781770875245903,-0.018606492478226433
2018-05-14,126.3,1.79M,-0.010397069083755494,-0.01034320639398223
2018-05-11,127.62,868.96K,0.0014114328384078085,0.0014124293785311437
2018-05-10,127.44,1.12M,-0.02288429383358773,-0.02262443438914019
2018-05-09,130.39,1.42M,0.030366705775930404,0.03083247687564228
2018-05-08,126.49,2.44M,-0.0031573157493728493,-0.003152336669556388
2018-05-07,126.89,3.25M,-0.11356226868818566,-0.10735138937741828
2018-05-04,142.15,417.65K,0.014669150119412413,0.014777270131353548
2018-05-03,140.08,346.36K,-0.0001427653653647607,-0.00014275517487494227
2018-05-02,140.1,340.74K,-0.013893050226702659,-0.013796987188511967
2018-05-01,142.06,337.65K,0.005647339588887726,0.005663315871442753
2018-04-30,141.26,325.86K,-0.010912911484065695,-0.01085358168195516
2018-04-27,142.81,336.77K,0.005335967164644752,0.005350228792678546
2018-04-26,142.05,335.60K,0.01275256389739134,0.012834224598930577
2018-04-25,140.25,488.96K,0.013784409516081788,0.013879852526566872
2018-04-24,138.33,414.16K,-0.019188674962414668,-0.019005744273455583
2018-04-23,141.01,385.68K,-0.0041753714104806215,-0.004166666666666652
2018-04-20,141.6,951.84K,-0.00021184196668571763,-0.00021181952976068175
